party,sentence
FI,Les parlementaires de la France insoumise sont les meilleurs opposants à l’Assemblée nationale et les premiers proposants.
FI,"Le 26 mai, envoyons des parlementaires de combat pour défendre au niveau européen nos services publics, le protectionnisme solidaire, le climat, la justice fiscale et nos droits sociaux."
FI,Pour commencer une autre histoire.
FI,"Avec nos alliés espagnols, portugais, danois, suédois, finlandais, et dans la continuité du «non» de 2005, nous allons être une force continentale pour rompre avec les politiques austéritaires et anti-écologiques organisées par les traités européens actuels."
FI,Ce sera un point d’appui pour préparer en France l’alternative à Macron et son Europe.
FI,L’UNION EUROPÉENNE DANS NOTRE QUOTIDIEN.
FI,AU PETIT DÉJEUNER.
FI,"Au menu: lait importé de Nouvelle-Zélande à cause des accords de libre-échange et céréales au glyphosate, un pesticide dangereux!"
FI,"Nos solutions : sortir des pesticides, développer l’agriculture paysanne et en finir avec les accords de libre-échange qui organisent le grand déménagement du monde et détruisent la planète."
FI,EN ALLUMANT LA LUMIÈRE.
FI,Privatisation des barrages hydroélectriques qui produisent de l’énergie renouvelable.
FI,"Nos solutions : renationalisation des barrages, sortie du nucléaire et planification écologique avec un objectif de 100% d’énergies renouvelables d’ici 2050."
FI,POUR SE DÉPLACER.
FI,"En 90 ans, la moitié du réseau de voies ferrées a fermé."
FI,Nos solutions : abroger la directive européenne d’ouverture à la concurrence du rail et protéger nos petites lignes du quotidien.
FI,AU TRAVAIL.
FI,"Avec le statut de travailleur détaché, tout le monde n’a pas les mêmes droits pour le même travail."
FI,Nos solutions : mettre fin au dumping social avec l’abrogation de la directive sur les travailleurs détachés et un SMIC européen correspondant à 75% du salaire médian (1700€ bruts en France).
FI,"SUR NOTRE FICHE D’IMPÔTS, LEUR ÉVASION FISCALE."
FI,Les ultrariches et les multinationales pratiquent l’évasion fiscale qui coûte 80 milliards d’euros à la France pendant que notre CSG ou notre TVA explosent.
FI,Nos solutions : établir une liste crédible de paradis fiscaux incluant des États européens comme l’Irlande ou le Luxembourg pour que les plus riches paient enfin leur juste part d’impôts.
FI,À LA NAISSANCE DE NOS ENFANTS.
FI,"En 20 ans, la moitié des maternités a fermé en France."
FI,"Aujourd’hui, une femme sur 4 habite à plus de 30 minutes de trajet d’une maternité, et une sur 5 à plus de 45 minutes."
FI,"Nos solutions : rompre avec l’austérité budgétaire imposée par la Commission européenne et investir massivement dans des services de santé, équitablement répartis sur le territoire."
FI,POUR PRENDRE SOIN DES PERSONNES ÂGÉES.
FI,Un EHPAD coûte en moyenne 2 000 euros par mois quand la retraite moyenne s’élève à moins de 1400 euros.
FI,Nos solutions : arrêter la marchandisation de la vieillesse et développer un service public de soin aux personnes âgées.
FI,POUR VIVRE EN PAIX.
FI,La défense européenne est soumise à l’OTAN et aux intérêts états-uniens.
FI,Nos solutions : sortir de l’OTAN et construire des partenariats bilatéraux pour une Europe de la paix.
FI,"POUR APPLIQUER CES SOLUTIONS, IL FAUT SORTIR DES TRAITÉS EUROPÉENS ACTUELS."
FI,"LE 26 MAI, REPRENONS LE CONTRÔLE, VOTONS POUR LA FRANCE INSOUMISE!"
LR,"REFONDER L’EUROPE, RÉTABLIR LA FRANCE."
LR,"Le 26 mai prochain, vous voterez à un moment décisif pour la France et pour l’Europe."
LR,Nous portons un projet pour refonder l’Europe.
LR,"Dans cette élection, il y a deux impasses : ceux qui veulent déconstruire l’Europe et ceux qui veulent toujours plus de l’Europe qui n’a pas marché."
LR,"Face à La Chine, face à l’islamisme, face à la crise migratoire, nous avons besoin de l’Europe plus que jamais."
LR,Notre projet est le seul qui réponde à ce double besoin: garder l’ambition européenne mais remettre l’Europe sur le bon chemin.
LR,5 PILIERS POUR REFONDER L’EUROPE.
LR,I Une Europe qui défend nos frontières.
LR,"Pour stopper l’immigration de masse, il faut imposer une double frontière, européenne et nationale."
LR,Nous refuserons tout nouvel élargissement et disons NON définitivement à l’adhésion de la Turquie à l’Union européenne.
LR,II Une Europe qui transmet sa civilisation.
LR,"Pour défendre notre histoire et notre culture, inscrivons nos racines judéo-chrétiennes dans les traités."
LR,Réaffirmons le devoir d’intégration: celui qui vient de l’étranger doit faire sien notre mode de vie et non l’inverse.
LR,"Face à l’islamisme, faisons preuve de beaucoup plus de fermeté (non-retour des djihadistes, fermeture de toutes les mosquées salafistes ...), transmettons avec fierté notre mode de vie, notre identité et nos valeurs."
LR,III Une Europe qui protège nos emplois.
LR,"Pour sortir de la naïveté dans la mondialisation, donnons une préférence à nos entreprises, nos agriculteurs et nos emplois face à nos concurrents."
LR,Réservons une part de nos marchés publics à nos PME locales et arrêtons d’importer des produits qui ne respectent pas les normes qui s’appliquent en Europe.
LR,IV Une Europe du bon sens plus que des normes.
LR,Il y a trop de normes et on a perdu le bon sens.
LR,Cela décourage tous ceux qui travaillent et entreprennent.
LR,"D’abord, la France doit arrêter de rajouter des normes."
LR,"Ensuite, il faut supprimer toutes les normes européennes inutiles."
LR,Retrouvons le bon sens !
LR,V.
LR,Une Europe des projets.
LR,"L’Europe doit retrouver du souffle avec des grands projets : la couverture en téléphonie mobile et en internet de nos territoires, la réalisation de nouvelles infrastructures (par exemple pour mettre les camions sur le rail), l’intelligence artificielle..."
LR,Nous proposons par exemple d’unir les efforts des laboratoires de recherche européens pour trouver un remède à la maladie d’Alzheimer.
LR,"«La Droite et le Centre, unis pour défendre la France en Europe »."
LR,Transmettre la fierté de notre culture et de notre histoire.  12 propositions clés.
LR,"Instaurer une double protection de nos frontières face au défi migratoire, européenne et française : nous sommes les seuls à proposer cela."
LR,Refuser tout nouvel élargissement de l’UE ou de l’espace Schengen : alors que le président de la République a accepté que les négociations avec l’Albanie s’ouvrent dès juin prochain et qu’il souhaite intégrer la Roumanie et la Bulgarie à l’espace Schengen.
LR,Retrouver la préférence européenne pour nos entreprises et nos agriculteurs : réserver 50% de nos marchés publics aux acteurs locaux et ne plus ouvrir nos marchés aux entreprises de pays qui nous ferment les leurs.
LR,Soutenir notre agriculture : se battre pour un budget stable de la PAC alors que le gouvernement n’a pas défendu notre agriculture; des normes européennes qui soient les mêmes dans tous les pays ; ayons du respect pour notre agriculture et aidons nos agriculteurs à s’adapter aux nouveaux défis du développement durable.
LR,"Protéger nos emplois en mettant fin à la concurrence déloyale qui menace nos commerces, nos artisans, nos savoir-faire : tout travailleur étranger doit avoir les mêmes obligations que les travailleurs français."
LR,Lancer une initiative européenne pour protéger la dignité humaine : lutter contre la marchandisation du corps humain et interdire la Gestation pour autrui (GPA).
LR,"Un Bouclier européen contre l’islamisme : fermeture des mosquées salafistes, interdiction des financements de pays étrangers, refus du retour des djihadistes, expulsion des étrangers fichés pour radicalisation."
LR,Affirmer notre civilisation : inscrire les racines judéo-chrétiennes dans les traités et instaurer une Charte européenne des valeurs et des devoirs que les étrangers devront respecter.
LR,La Barrière écologique : pour lutter contre le dumping des produits importés de l’autre bout de la planète et défendre notre environnement.
LR,"Former notre jeunesse : un nouvel Erasmus pour offrir à chaque européen (scolaire, apprenti, étudiant) la possibilité de faire 6 mois de cursus dans un autre pays européen."
LR,"Restaurer notre patrimoine culturel : avec le « 1% culture européen », investir dans le patrimoine architectural et historique de nos territoires."
LR,"Mettre fin à la bureaucratie, aux normes et contrôles toujours plus contraignants pour nos PME, nos artisans, nos commerçants et rétablir l’Europe des projets."
PCF,Pour l'Europe des gens contre l'Europe de l'argent.
PCF,"Madame, Monsieur, Comme beaucoup d’entre vous, je suis en colère."
PCF,"En colère face aux salaires et aux pensions de retraite trop bas, face aux services publics démantelés et face à l’inaction du gouvernement devant l’urgence climatique."
PCF,Je ne m’y fais pas.
PCF,Il faut que cela change.
PCF,"Et pour que cela change en France, il faut que cela change en Europe."
PCF,L’Europe nous impose ses politiques d’austérité avec la complicité de nos gouvernements.
PCF,"Le 26 mai, avec votre bulletin de vote, vous mettrez un carton rouge à Macron et à l’Europe libérale et contribuerez de manière décisive à ce changement."
PCF,Parce que vous ferez élire des député.e.s européen.ne.s qui vous défendront comme ils l’ont toujours fait : le PCF est le seul parti de gauche à avoir rejeté tous les traités européens ultralibéraux.
PCF,"Parce que vous ferez élire la première femme ouvrière au Parlement européen : Marie-Hélène Bourlard, en 2e  position sur la liste que je conduis."
PCF,"Je compte sur vous, chaque voix comptera."
PCF,L'humain et la planète d'abord.
PCF,Sanctionner Macron et l'Europe libérale.
PCF,"Une vie digne, un travail qui paie."
PCF,"Un smic à 1 400 euros nets en France, un salaire minimum européen établi dans chaque pays à au moins 60 % du salaire moyen et l’égalité professionnelle femme-homme."
PCF,Le social et l’écologie au cœur.
PCF,"Création d’une clause de non-régression sociale : un État membre pourra s’opposer à toute décision de l’UE qui conduit à dégrader nos conditions de vie ; doubler la part du transport de marchandises par le train, lancer un plan européen de rénovation thermique des bâtiments."
PCF,"L’argent pour les services publics : prélever à la source les profits des multinationales, interdire les paradis fiscaux dans l’Union européenne (Luxembourg, Irlande…), réorienter l’argent de la Banque centrale européenne vers les services publics et non vers les banques privées."
PCF,Produire en France : pas de France sans usine.
PCF,Nous voulons la relocalisation de nos productions : clause de proximité dans tous les marchés publics ; remboursement des aides publiques par les entreprises qui délocalisent ; une nouvelle politique agricole et alimentaire commune pour garantir les revenus des paysan.ne.s et une alimentation de qualité accessible à tou.te.s.
PCF,"Enfin, une vraie démocratie en Europe."
PCF,"Diviser par 3 le salaire du président de la Commission européenne (qui touche 32 000 euros par mois !), interdiction d’occuper un poste dans une grande banque ou une multinationale pendant les 7 ans qui suivent l’exercice d’un mandat européen et organisation d’un processus citoyen pour un nouveau traité européen."
PS,L’Europe est notre avenir.
PS,"Nous avons besoin d’elle pour maîtriser notre destin, pour lutter contre le réchauffement climatique et la disparition de la biodiversité, pour imposer des règles aux multinationales et au commerce mondial, pour peser face à l’Amérique de Trump, la Russie de Poutine et la Chine de Xi Jinping."
PS,"Or l’Union européenne, dénaturée par les lobbies et attaquée par les nationalistes, est aujourd’hui menacée d’implosion."
PS,Il est temps de changer les politiques menées à Bruxelles.
PS,"Il est temps de transformer le premier marché mondial en puissance capable de protéger notre environnement et notre santé, nos emplois et nos valeurs."
PS,"Il est temps de rompre avec les dogmes du libre-échange et de l’austérité, de lancer la grande transition écologique et de renouer avec la quête de justice sociale."
PS,"De remettre la démocratie, l’humanisme, la solidarité, l’éducation et la culture au cœur du projet européen."
PS,"Conscients de l’urgence, les combattantes et les combattants rassemblés sur cette liste veulent faire émerger une alternative sociale et écologique au libéralisme et au nationalisme."
PS,"Ensemble, nous construirons cette alternative de gauche."
PS,"Ensemble, nous construirons l’Europe des citoyens."
PS,Raphaël Glucksmann.  10 combats communs pour changer l’Europe.
PS,1 L’écologie et la justice sociale d’abord !
PS,"Si le climat était une banque, on l’aurait déjà sauvé."
PS,La finance doit être mise au service de l’intérêt général.
PS,Nous mettrons la finance au service de la transition écologique et de la justice sociale grâce au « Pacte Finance-Climat-Biodiversité » initié par Jean Jouzel et Pierre Larrouturou.
PS,"Ce grand plan d’investissement permettra de diviser par deux nos émissions de CO2 d’ici 2030, de créer des emplois, d’améliorer notre santé et de diminuer de 500 à 1 000€ par an les factures de chauffage de chaque ménage en France."
PS,Nous sortirons également les dépenses vertes de la règle des 3% de déficit en faisant valoir un principe d’exception écologique.
PS,2 Une alimentation saine et de qualité et une agriculture sans pesticides.
PS,Nous érigerons la santé publique et la sécurité alimentaire en priorités absolues.
PS,Nous lutterons pour une politique agricole et alimentaire commune (PAAC) qui accompagne les agriculteurs dans cette transition et protège la biodiversité.
PS,Nous défendrons un taux de TVA réduit pour les produits issus de l’agriculture biologique.
PS,3 Un protectionnisme social et écologique pour une autre mondialisation.
PS,Nous exigerons un moratoire sur les accords de libre-échange.
PS,Les importations qui ne respectent pas les normes sociales et environnementales européennes seront taxées aux frontières de l’UE et abonderont le budget pour la transition écologique et l’assurance-chômage.
PS,"Nous veillerons à ce que les règles de la concurrence n’entravent pas le développement d’une stratégie industrielle européenne, en particulier pour la création d’industries de taille internationale."
PS,4 Combattre le dumping social et développer l’Europe du progrès social.
PS,Nous créerons un SMIC européen d’au moins 65 % du salaire médian et une assurance-chômage complémentaire après discussions avec les partenaires sociaux.
PS,Nous soutiendrons un nouveau modèle européen d’entreprise qui donne autant de pouvoir aux salariés qu’aux actionnaires dans les conseils d’administration.
PS,5 Une fiscalité juste et une régulation financière efficace.
PS,"Nous nous battrons pour un ISF vert, la séparation des activités bancaires, une véritable taxe sur les transactions financières et pour que les multinationales paient leur juste part d’impôt à l’endroit où elles réalisent leurs bénéfices."
PS,Nous lutterons résolument contre les paradis fiscaux 6 Solidarité européenne dans l’accueil des réfugiés.
PS,Nous lutterons pour une version européenne et solidaire de l’opération Mare Nostrum.
PS,"Pour organiser l’accueil, nous réformerons le régime d’asile européen et créerons un office européen de l’asile dont nous assurerons les moyens et l’indépendance."
PS,"7 L’Europe des citoyens, contre l’Europe des lobbies."
PS,Nous renforcerons les pouvoirs du Parlement européen et l’initiative citoyenne européenne (ICE).
PS,Nous interdirons aux ex-commissaires européens toute activité de lobbying dans les cinq ans suivant la fin de leur mandat.
PS,Nous créerons une haute autorité européenne pour la transparence de la vie publique.
PS,8 Garantir et étendre les droits fondamentaux.
PS,Nous exigerons des sanctions envers les États qui leur portent atteinte.
PS,"Nous veillerons à garantir la protection des données personnelles contre la prédation des États, des GAFAM et autres multinationales."
PS,Nous défendrons l’égalité femmes-hommes et proposerons un droit européen à l’avortement.
PS,Nous ferons de l’Europe un leader pour les droits des personnes LGBTI+ et lutterons contre toute forme de discrimination.
PS,9 Renforcer la défense de l’Europe et la sécurité des Européens.
PS,"Pour garantir notre protection, notamment face au terrorisme, nous œuvrerons à un meilleur partage des moyens de défense et de projection sur des théâtres d’opérations extérieurs."
PS,Nous encouragerons une pensée stratégique et diplomatique commune en faisant adopter un livre blanc européen sur la défense et la sécurité.
PS,10 Une Europe de la jeunesse grâce à un Erasmus pour tous.
PS,"Nous permettrons à chaque jeune européen de 16 à 25 ans de bénéficier d’une bourse à la mobilité allant jusqu’à 5 000€ pour mener un projet éducatif, professionnel ou associatif dans un autre pays européen que le sien."
REN,Quel continent voulons-nous laisser à nos enfants?
REN,"Il y a 70 ans, nos grands-parents et nos parents ont répondu à cette question."
REN,"Ils ont porté une idée née en France, celle d’unir les peuples d’Europe pour faire face aux défis de leur temps."
REN,"Par ce choix, ils nous ont légué un pays libre, en paix avec ses voisins, un modèle social et une place dans le monde."
REN,"Le 26 mai prochain, c’est à notre tour de répondre à cette question."
REN,Les défis ne sont certes pas les mêmes mais ils sont tout aussi immenses.
REN,Qui n’a pas le sentiment d’être à un moment décisif de notre histoire ?
REN,"Nos générations doivent répondre à l’urgence climatique, défendre ce que nous sommes face aux autres puissances, redonner confiance à notre jeunesse et rétablir la justice sociale."
REN,La tâche est lourde mais je n’ai pas peur.
REN,"La France peut, une nouvelle fois, être au rendez-vous de l’Europe."
REN,"Mes colistiers et moi-même, nous nous engageons à être à la hauteur et à restaurer l’image et l’influence de la France, de métropole et des Outremer, au Parlement européen en menant à bien notre projet."
REN,"Ce projet a une ambition : reprendre en main notre destin pour laisser à nos enfants une Europe respectée, verte, juste et prospère."
REN,"C’est pour eux et parce que nous sommes convaincus que nous en sommes capables, que nous vous proposons de lancer ensemble, ce 26 mai, une Renaissance européenne."
REN,Faire de l’Europe une puissance verte.
REN,Investir massivement dans la transition écologique et solidaire.
REN,Créer une Banque du Climat pour accélérer les investissements dans les projets durables.
REN,Sortir du glyphosate d’ici 2021 et diviser par deux les pesticides d’ici 2025.
REN,Créer une taxe carbone sur les produits impor- tés et une taxe sur le transport aérien.
REN,Créer une force de protection sanitaire pour lutter contre les fraudes alimentaires.
REN,Défendre le budget de la PAC pour soutenir les agriculteurs et réussir la transition écologique.
REN,Bâtir l’Europe de la justice sociale et fiscale.
REN,Taxer les géants du numérique en Europe.
REN,"Instaurer un salaire minimum décent, adapté à chaque pays européen."
REN,"Mettre en œuvre un acte II de la réforme des travailleurs détachés : à travail égal, salaire égal et coût du travail égal."
REN,"Faire respecter l’Europe dans la mondialisation Interdire l’accès au marché européen à toute entreprise qui ne respecte pas nos exigences sociales et environnementales (interdiction du travail forcé, interdiction du travail des enfants, déforestation illégale…)."
REN,Étendre les AOP aux produits issus de l’artisanat de nos régions comme la Porcelaine de Limoges.
REN,Refonder la politique de la concurrence pour ne plus reproduire l’erreur du rejet de la fusion Alstom-Siemens.
REN,Mettre en œuvre un budget de la zone euro.
REN,Donner à l’Europe les moyens de se défendre.
REN,"Aller vers une armée européenne, en complément des armées nationales, pour créer des capacités d’intervention commune."
REN,Créer un cyber-bouclier européen.
REN,Créer un registre judiciaire antiterroriste commun.
REN,Faire respecter nos valeurs et nos frontières.
REN,Construire une politique européenne d’asile pour refonder Schengen et ainsi garantir la libre-circulation des Européens.
REN,"Contrôler efficacement nos frontières extérieures, grâce à 10 000 gardes-frontières et gardes-côtes au sein de Frontex."
REN,Unir autour de l’identité européenne.
REN,"Ouvrir Erasmus à tous, des collégiens aux apprentis et tripler son budget pour augmenter les bourses."
REN,Nous faciliterons la reconnaissance des qualifications entre pays et les mobilités pour les ultramarins.
REN,Créer une vingtaine d’Universités européennes d’ici 2024.
REN,Renforcer la protection du patrimoine en Europe.
REN,Rendre l’Europe aux citoyens Préserver la démocratie en Europe en conditionnant l’accès aux fonds européens au respect de l’État de droit.
REN,"Les contribuables ne doivent pas financer les États qui restreignent les libertés, ou qui font du dumping social."
REN,Moraliser la vie politique européenne en interdisant le financement des partis politiques européens par des puissances étrangères et des entreprises.
REN,Pour une politique féministe européenne.
REN,Mettre en œuvre le “Pacte Simone Veil”.
REN,Nous harmoniserons par le haut les droits des femmes en Europe: chaque pays signataire introduira dans sa législation les mesures les plus protectrices ayant fait leurs preuves dans les autres pays européens.
REN,Réussir la Renaissance européenne.
REN,"Organiser une Conférence pour l’Europe qui réunira les dirigeants européens, des citoyens tirés au sort et des spécialistes de domaines clés."
REN,"Nous voulons remettre à plat le projet européen et permettre aux pays qui le souhaitent d’aller plus loin en matière sociale, fiscale, budgétaire ou stratégique."
RN,Donnons le pouvoir au peuple.
RN,Votez !
RN,"Madame, Monsieur."
RN,Vous avez trois raisons majeures de voter.
RN,"Refuser les décisions négatives de l'Union européennes qui ont un impact direct sur votre vie : installation de migrants dans votre ville ou village, casse des services publics, réformes d'austérité imposées par la Commission (retraites, chômage, pouvoir d'achat...), importation de produits dangereux en vertu de traités de libre-échange."
RN,Ouvrir une alternance nécessaire en Europe : depuis toujours les mondialistes gouvernent l'UE !
RN,"Pour la première fois, il est possible de donner le pouvoir aux peuples : les entendre et les défendre."
RN,"Affirmer votre opposition à la politique d'Emmanuel Macron : si sa liste arrive en tête, il se sentira encouragé et aggravera ses décisions contre les classes populaires et moyennes, les retraités, les contribuables, les familles, les automobilistes, les TPE/PME."
RN,"Ni abstention, ni dispersion, votez pour la seule liste qui peut faire perdre Emmanuel Macron et protéger les Français."
RN,Protéger le pouvoir d'achat des Français en refusant le racket fiscal et l'impôt européen.
RN,C'est possible !
RN,"Défendre nos retraites, nos salaires et notre protection sociale en refusant l'austérité et la précarité imposées par Bruxelles."
RN,C'est possible !
RN,Donner la priorité aux entreprises et aux travailleurs français en refusant la concurrence déloyale et les travailleurs détachés étrangers.
RN,C'est possible !
RN,Protéger notre santé et celle de nos enfants en refusant l'importation de produits sans normes sanitaires et environnementales.
RN,C'est possible !
RN,Retrouver les frontières de la France et poser des frontières à l'Europe pour en finir avec l'immigration massive.
RN,C'est possible !
RN,Défendre notre identité en affirmant nos valeurs de civilisation et en préservant notre mode de vie et nos traditions.
RN,C'est possible !
RN,Rétablir la démocratie en France et en Europe en respectant les citoyens.
RN,C'est possible !
RN,Pour l'Europe des nations contre l'Europe de Macron.
RN,L'Union européennes a trahi toutes ses promesses en laissant les nations sans protections face à la mondialisation sauvage et à l'immigration massive.
RN,"Les Républicains, membres du même parti que Jean-Claude Juncker et Angela Merkel ont tous les pouvoirs dans les instances européennes (Commission, Conseil, Parlement)."
RN,Ils sont donc directement responsables du désastre !
RN,"C'est Bruxelles qui décide, c'est vous qui subissez."
RN,Répartition obligatoire des migrants.
RN,Délocalisations et fermetures d'usines.
RN,Casses des services publics.
RN,Ruine de notre agriculture.
RN,Ne gâchez pas votre voix.
RN,C'est dans le projet du Rassemblement National que j'ai retrouvé les valeurs que je défends depuis toujours - Thierry Mariani.
RN,"Ils ont rejoint notre liste : Hervé Juvin (spécialiste des questions écologiques), Maxette Pirbakas (syndicaliste agricole), Jean-Paul Garraud (magistrat, ancien député) et Thierry Mariani (ancien ministre) fondateurs de la Droite populaire au sein de l'UMP."
RN,"Notre manifeste ""POur une alliance européennes des nations""."
RN,"Localisme et protectionnisme, souveraineté alimentaire, juste échange, responsabilité nationale de l'entreprise, grandes coopérations entre nations; autant d'idées nouvelles que nous mettrons en oeuvre avec nos alliés européens."
RN,"Découvrez le manifeste européen du Rassemblement National en téléchargement libre, sur rn-europennes.fr."
RN,Votez le dimanche 26 mai contre l'Union européenne de Macron Merkel et Juncker.
